ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-097,Cooke County,Texas,31.73,-3.86,41,35.59
TX-099,Coryell County,Texas,17.42,-14.16,4,31.58
TX-101,Cottle County,Texas,16.46,-5.94,16,22.4
TX-103,Crane County,Texas,8.49,-4.63,20,13.12
TX-105,Crockett County,Texas,12.09,-5.99,17,18.08
TX-107,Crosby County,Texas,14.25,-6.06,16,20.31
TX-109,Culberson County,Texas,12.76,0.86,82,11.9
TX-111,Dallam County,Texas,10.11,-6.5,7,16.61
TX-113,Dallas County,Texas,35.8,-0.65,56,36.45
TX-115,Dawson County,Texas,10.01,-7.39,8,17.4
TX-117,Deaf Smith County,Texas,10.94,-7.37,5,18.31
TX-119,Delta County,Texas,40.61,-2.49,56,43.1
TX-121,Denton County,Texas,30.9,-4.04,46,34.94
TX-123,DeWitt County,Texas,23.25,-11.35,12,34.6
TX-125,Dickens County,Texas,14.61,-6.96,12,21.57
TX-127,Dimmit County,Texas,17.61,-3.5,47,21.11
TX-129,Donley County,Texas,17.06,-4.89,26,21.95
TX-131,Duval County,Texas,20.27,-3.46,44,23.73
TX-133,Eastland County,Texas,19.23,-8.35,13,27.58
TX-135,Ector County,Texas,8.28,-5.52,17,13.8
TX-137,Edwards County,Texas,14.01,-9.53,8,23.54
TX-139,Ellis County,Texas,31.06,-5.41,32,36.47
TX-141,El Paso County,Texas,10.65,1.86,97,8.79
TX-143,Erath County,Texas,16.38,-13.33,1,29.71
TX-145,Falls County,Texas,25.78,-9.24,16,35.02
TX-147,Fannin County,Texas,40.35,-0.79,57,41.14
TX-149,Fayette County,Texas,28.04,-9.41,19,37.45
TX-151,Fisher County,Texas,14.44,-7.51,11,21.95
TX-153,Floyd County,Texas,14.46,-6.21,17,20.67
TX-155,Foard County,Texas,18.93,-5.32,27,24.25
TX-157,Fort Bend County,Texas,32.67,-11.48,13,44.15
TX-159,Franklin County,Texas,42.24,-1.77,57,44.01
TX-161,Freestone County,Texas,33.44,-5.59,35,39.03
TX-163,Frio County,Texas,14.68,-9.5,8,24.18
TX-165,Gaines County,Texas,8.17,-7.78,7,15.95
TX-167,Galveston County,Texas,40.93,-6.24,37,47.17
TX-169,Garza County,Texas,12.34,-7.17,11,19.51
TX-171,Gillespie County,Texas,15.76,-13.29,6,29.05
TX-173,Glasscock County,Texas,9.43,-8.29,9,17.72
TX-175,Goliad County,Texas,24.45,-8.75,23,33.2
TX-177,Gonzales County,Texas,18.46,-15.34,7,33.8
TX-179,Gray County,Texas,18.64,-3.53,33,22.17
TX-181,Grayson County,Texas,35.37,-2.88,49,38.25
TX-183,Gregg County,Texas,38.84,-6.25,34,45.09
TX-185,Grimes County,Texas,35.51,-6.36,31,41.87
TX-187,Guadalupe County,Texas,16.05,-15.8,3,31.85
TX-189,Hale County,Texas,13.52,-5.87,18,19.39
TX-191,Hall County,Texas,16.22,-4.97,23,21.19
TX-193,Hamilton County,Texas,16.55,-13.35,3,29.9
TX-195,Hansford County,Texas,10.99,-8.07,3,19.06
TX-197,Hardeman County,Texas,19.29,-5.17,29,24.46
TX-199,Hardin County,Texas,51.66,-0.71,57,52.37
TX-201,Harris County,Texas,36.42,-10.05,18,46.47
TX-203,Harrison County,Texas,41.98,-5.17,41,47.15
TX-205,Hartley County,Texas,10.43,-6.91,4,17.34
TX-207,Haskell County,Texas,18.31,-5.77,25,24.08
TX-209,Hays County,Texas,17.02,-15.99,6,33.01
TX-211,Hemphill County,Texas,17.11,-5.4,20,22.51
TX-213,Henderson County,Texas,34.25,-6.73,32,40.98
TX-215,Hidalgo County,Texas,20.01,-2.76,42,22.77
TX-217,Hill County,Texas,24.53,-10.3,11,34.83
TX-219,Hockley County,Texas,13.65,-4.55,24,18.2
TX-221,Hood County,Texas,22.04,-9.07,14,31.11
TX-223,Hopkins County,Texas,39.39,-3.37,50,42.76
TX-225,Houston County,Texas,40.67,-3.51,49,44.18
TX-227,Howard County,Texas,9.09,-9.44,5,18.53
TX-229,Hudspeth County,Texas,13,2.7,106,10.3
TX-231,Hunt County,Texas,37.17,-3.38,46,40.55
TX-233,Hutchinson County,Texas,13.85,-5.57,13,19.42
TX-235,Irion County,Texas,12.29,-7.68,9,19.97
TX-237,Jack County,Texas,25.62,-4.4,38,30.02
TX-239,Jackson County,Texas,28.94,-10.86,16,39.8
TX-241,Jasper County,Texas,48.94,-5.16,47,54.1
TX-243,Jeff Davis County,Texas,16.43,1.67,91,14.76
TX-245,Jefferson County,Texas,52.56,0.26,61,52.3
TX-247,Jim Hogg County,Texas,19.58,-2.26,55,21.84
TX-249,Jim Wells County,Texas,19.46,-6.87,22,26.33
TX-251,Johnson County,Texas,26.72,-6.8,25,33.52
TX-253,Jones County,Texas,16.64,-6.87,16,23.51
TX-255,Karnes County,Texas,20.42,-9.77,12,30.19
TX-257,Kaufman County,Texas,32.82,-6.55,28,39.37
TX-259,Kendall County,Texas,14.81,-16.43,4,31.24
TX-261,Kenedy County,Texas,19.06,-6.5,21,25.56
TX-263,Kent County,Texas,12.94,-7.83,8,20.77
TX-265,Kerr County,Texas,14.27,-14.34,4,28.61
TX-267,Kimble County,Texas,15.1,-10.62,9,25.72
TX-269,King County,Texas,15.4,-7.22,10,22.62
TX-271,Kinney County,Texas,17.34,-4.17,34,21.51
TX-273,Kleberg County,Texas,18.32,-8.5,17,26.82
TX-275,Knox County,Texas,18.65,-5.4,21,24.05
TX-277,Lamar County,Texas,42.05,-2.24,55,44.29
TX-279,Lamb County,Texas,14.25,-4.17,22,18.42
TX-281,Lampasas County,Texas,20.04,-9.45,11,29.49
TX-283,La Salle County,Texas,18.53,-3.62,46,22.15
TX-285,Lavaca County,Texas,25.11,-12.57,12,37.68
TX-287,Lee County,Texas,27.83,-8.4,23,36.23
TX-289,Leon County,Texas,36.48,-4.2,46,40.68
TX-291,Liberty County,Texas,46.15,-3.44,50,49.59
TX-293,Limestone County,Texas,29.24,-8.1,21,37.34
TX-295,Lipscomb County,Texas,15.5,-6.38,12,21.88
TX-297,Live Oak County,Texas,19.4,-7.5,18,26.9
TX-299,Llano County,Texas,18.91,-9.47,11,28.38
TX-301,Loving County,Texas,10.41,-1.1,56,11.51
TX-303,Lubbock County,Texas,14.22,-4.69,26,18.91
TX-305,Lynn County,Texas,12.82,-5.72,17,18.54
TX-307,McCulloch County,Texas,19.77,-5.87,23,25.64
TX-309,McLennan County,Texas,22.53,-11.17,7,33.7
TX-311,McMullen County,Texas,18.19,-5.69,29,23.88
TX-313,Madison County,Texas,35.89,-5.48,39,41.37
TX-315,Marion County,Texas,43.85,-3.19,52,47.04
TX-317,Martin County,Texas,8.73,-7.89,7,16.62
TX-319,Mason County,Texas,17.4,-9.3,9,26.7
TX-321,Matagorda County,Texas,32.03,-10.25,22,42.28
TX-323,Maverick County,Texas,16.97,-3.33,45,20.3
TX-325,Medina County,Texas,13.04,-14.52,2,27.56
TX-327,Menard County,Texas,15.66,-9.62,9,25.28
TX-329,Midland County,Texas,8.94,-6.45,13,15.39
TX-331,Milam County,Texas,27.07,-7.85,22,34.92
TX-333,Mills County,Texas,19.86,-8.21,14,28.07
TX-335,Mitchell County,Texas,11.94,-8.56,7,20.5
TX-337,Montague County,Texas,30.01,-2.4,47,32.41
TX-339,Montgomery County,Texas,40.33,-5.57,42,45.9
TX-341,Moore County,Texas,12.02,-6.51,8,18.53
TX-343,Morris County,Texas,41.85,-4.05,44,45.9
TX-345,Motley County,Texas,15.63,-5.79,21,21.42
TX-347,Nacogdoches County,Texas,42.06,-5.52,42,47.58
TX-349,Navarro County,Texas,31.7,-5.92,35,37.62
TX-351,Newton County,Texas,50,-5.41,46,55.41
TX-353,Nolan County,Texas,14.85,-8.18,10,23.03
TX-355,Nueces County,Texas,22.06,-6.64,26,28.7
TX-357,Ochiltree County,Texas,13.42,-7.05,8,20.47
TX-359,Oldham County,Texas,10.39,-7.33,4,17.72
TX-361,Orange County,Texas,52.81,-2.09,51,54.9
TX-363,Palo Pinto County,Texas,20,-9.4,11,29.4
TX-365,Panola County,Texas,45.49,-2.17,52,47.66
TX-367,Parker County,Texas,23.06,-8.73,15,31.79
TX-369,Parmer County,Texas,11.47,-6.25,10,17.72
TX-371,Pecos County,Texas,12.76,-0.65,60,13.41
TX-373,Polk County,Texas,45.42,-4.32,46,49.74
TX-375,Potter County,Texas,13.22,-5.76,11,18.98
TX-377,Presidio County,Texas,13.27,-0.05,76,13.32
TX-379,Rains County,Texas,38.21,-2.91,47,41.12
TX-381,Randall County,Texas,13.65,-5.99,11,19.64
TX-383,Reagan County,Texas,10.99,-6.48,14,17.47
TX-385,Real County,Texas,12.8,-14.23,4,27.03
TX-387,Red River County,Texas,44.51,-1.77,59,46.28
TX-389,Reeves County,Texas,12.43,0.95,87,11.48
TX-391,Refugio County,Texas,27.85,-5.87,33,33.72
TX-393,Roberts County,Texas,16.56,-4.4,24,20.96
TX-395,Robertson County,Texas,31.2,-6.35,29,37.55
TX-397,Rockwall County,Texas,33.94,-5.1,40,39.04
TX-399,Runnels County,Texas,16.96,-6.82,18,23.78
TX-401,Rusk County,Texas,42.4,-3.26,47,45.66
TX-403,Sabine County,Texas,49.44,-2.59,56,52.03
TX-405,San Augustine County,Texas,46.1,-4.55,46,50.65
TX-407,San Jacinto County,Texas,44.88,-2.87,53,47.75
TX-409,San Patricio County,Texas,25.68,-4.91,38,30.59
TX-411,San Saba County,Texas,21.33,-6.29,22,27.62
TX-413,Schleicher County,Texas,13.13,-8.87,10,22
TX-415,Scurry County,Texas,13.68,-6.86,13,20.54
TX-417,Shackelford County,Texas,19.51,-6.02,23,25.53
TX-419,Shelby County,Texas,46.09,-3.03,52,49.12
TX-421,Sherman County,Texas,9.44,-8.38,2,17.82
TX-423,Smith County,Texas,39.03,-4.38,42,43.41
TX-425,Somervell County,Texas,23.3,-7.94,19,31.24
TX-427,Starr County,Texas,18.53,-1.61,52,20.14
TX-429,Stephens County,Texas,22.24,-4.56,33,26.8
TX-431,Sterling County,Texas,10.31,-9.78,6,20.09
TX-433,Stonewall County,Texas,14.54,-7.75,9,22.29
TX-435,Sutton County,Texas,12.91,-9.58,8,22.49
TX-437,Swisher County,Texas,13.85,-6.01,14,19.86
TX-439,Tarrant County,Texas,31.41,-2.1,48,33.51
TX-441,Taylor County,Texas,16.95,-7.15,14,24.1
TX-443,Terrell County,Texas,14.27,0.66,77,13.61
TX-445,Terry County,Texas,12.69,-4.72,26,17.41
TX-447,Throckmorton County,Texas,21.88,-4.15,32,26.03
TX-449,Titus County,Texas,41.44,-3.71,50,45.15
TX-451,Tom Green County,Texas,14.1,-7.8,11,21.9
TX-453,Travis County,Texas,22.52,-10.22,14,32.74
TX-455,Trinity County,Texas,41.81,-4.97,43,46.78
TX-457,Tyler County,Texas,48.16,-3.99,51,52.15
TX-459,Upshur County,Texas,41.6,-2.9,53,44.5
TX-461,Upton County,Texas,10.07,-4.95,19,15.02
TX-463,Uvalde County,Texas,15.29,-10.14,8,25.43
TX-465,Val Verde County,Texas,13.53,-4.49,26,18.02
TX-467,Van Zandt County,Texas,35.64,-5.68,34,41.32
TX-469,Victoria County,Texas,27.56,-9.03,25,36.59
TX-471,Walker County,Texas,40.68,-3.23,49,43.91
TX-473,Waller County,Texas,29.59,-12.58,11,42.17
TX-475,Ward County,Texas,9.57,-1.99,43,11.56
TX-477,Washington County,Texas,27.75,-11.27,14,39.02
TX-479,Webb County,Texas,20.45,-0.12,71,20.57
TX-481,Wharton County,Texas,32.55,-8.95,25,41.5
TX-483,Wheeler County,Texas,19,-4.37,29,23.37
TX-485,Wichita County,Texas,22.48,-5.68,24,28.16
TX-487,Wilbarger County,Texas,22.61,-3.38,40,25.99
TX-489,Willacy County,Texas,21.79,-3.24,41,25.03
TX-491,Williamson County,Texas,23.59,-9.42,13,33.01
TX-493,Wilson County,Texas,16.73,-13.11,5,29.84
TX-495,Winkler County,Texas,9.79,-2.58,40,12.37
TX-497,Wise County,Texas,26.17,-6.11,30,32.28
TX-499,Wood County,Texas,40.35,-2.07,57,42.42
TX-501,Yoakum County,Texas,10.45,-6.34,17,16.79
TX-503,Young County,Texas,23.58,-4.12,36,27.7
TX-505,Zapata County,Texas,18.92,0.03,71,18.89
TX-507,Zavala County,Texas,16.77,-5.4,33,22.17
UT-001,Beaver County,Utah,10.76,-1.84,35,12.6
UT-003,Box Elder County,Utah,9.87,-2.15,38,12.02
UT-005,Cache County,Utah,24.49,-3.44,43,27.93
UT-007,Carbon County,Utah,11.84,-2.9,27,14.74
UT-009,Daggett County,Utah,14.91,-0.2,64,15.11
UT-011,Davis County,Utah,22.19,-3.14,37,25.33
UT-013,Duchesne County,Utah,14.97,-2.79,33,17.76
UT-015,Emery County,Utah,7.54,-1.87,34,9.41
UT-017,Garfield County,Utah,10.03,-3.01,22,13.04
UT-019,Grand County,Utah,10.72,-1.2,52,11.92
UT-021,Iron County,Utah,12.89,-1.69,41,14.58
UT-023,Juab County,Utah,9.29,-2.43,22,11.72
UT-025,Kane County,Utah,9.49,-2.68,25,12.17
UT-027,Millard County,Utah,7.85,-2.02,22,9.87
UT-029,Morgan County,Utah,23.17,-2.85,44,26.02
UT-031,Piute County,Utah,12.65,-4.34,14,16.99
UT-033,Rich County,Utah,15.33,-1.37,45,16.7
UT-035,Salt Lake County,Utah,19.36,-2.74,36,22.1
UT-037,San Juan County,Utah,9.65,-1.04,52,10.69
UT-039,Sanpete County,Utah,16.57,-2.96,30,19.53
UT-041,Sevier County,Utah,12.84,-3.49,20,16.33
UT-043,Summit County,Utah,24.41,-2.47,40,26.88
UT-045,Tooele County,Utah,8.53,-1.7,35,10.23
UT-047,Uintah County,Utah,10.69,-1.5,39,12.19
UT-049,Utah County,Utah,16.52,-2.54,39,19.06
UT-051,Wasatch County,Utah,22.13,-2.94,42,25.07
UT-053,Washington County,Utah,11.84,-3.3,31,15.14
UT-055,Wayne County,Utah,7.23,-2.01,27,9.24
UT-057,Weber County,Utah,23.2,-3.65,40,26.85
VT-001,Addison County,Vermont,39.61,1.34,79,38.27
VT-003,Bennington County,Vermont,47.42,1.77,76,45.65
VT-005,Caledonia County,Vermont,40.74,0.34,68,40.4
VT-007,Chittenden County,Vermont,39.37,1.05,74,38.32
VT-009,Essex County,Vermont,45.5,3.57,99,41.93
VT-011,Franklin County,Vermont,45.58,3.84,97,41.74
VT-013,Grand Isle County,Vermont,45.03,10.33,128,34.7
VT-015,Lamoille County,Vermont,45.08,1.49,78,43.59
VT-017,Orange County,Vermont,38.26,-1.11,58,39.37
VT-019,Orleans County,Vermont,50.14,6.59,109,43.55
VT-021,Rutland County,Vermont,45.72,4.57,95,41.15
VT-023,Washington County,Vermont,39.21,-1.28,53,40.49
VT-025,Windham County,Vermont,48.77,2.59,82,46.18
VT-027,Windsor County,Vermont,44.37,2.45,83,41.92
VA-001,Accomack County,Virginia,40.56,-1.24,56,41.8
VA-003,Albemarle County,Virginia,46.71,4.22,97,42.49
VA-005,Alleghany County,Virginia,46.09,6.06,111,40.03
VA-007,Amelia County,Virginia,41.56,-1.54,52,43.1
VA-009,Amherst County,Virginia,50.01,5.35,104,44.66
VA-011,Appomattox County,Virginia,43.83,1.76,76,42.07
VA-013,Arlington County,Virginia,44.79,3.13,93,41.66
VA-015,Augusta County,Virginia,42.3,2.15,84,40.15
VA-017,Bath County,Virginia,46.26,4.62,101,41.64
VA-019,Bedford County,Virginia,48.93,5.51,107,43.42
VA-021,Bland County,Virginia,48.82,7.79,116,41.03
VA-023,Botetourt County,Virginia,48.86,7.44,116,41.42
VA-025,Brunswick County,Virginia,41.51,-2.79,43,44.3
VA-027,Buchanan County,Virginia,51.45,6.78,114,44.67
VA-029,Buckingham County,Virginia,43.58,1.08,72,42.5
VA-031,Campbell County,Virginia,43,0.94,70,42.06
VA-033,Caroline County,Virginia,41.42,-1.28,52,42.7
VA-035,Carroll County,Virginia,55.67,9.9,117,45.77
VA-036,Charles City County,Virginia,43.25,-0.37,60,43.62
VA-037,Charlotte County,Virginia,43.99,1.5,67,42.49
VA-041,Chesterfield County,Virginia,41.17,-2.02,47,43.19
VA-043,Clarke County,Virginia,42.55,4.57,105,37.98
VA-045,Craig County,Virginia,47.15,6.06,111,41.09
VA-047,Culpeper County,Virginia,41.32,0.62,74,40.7
VA-049,Cumberland County,Virginia,43.99,1.22,76,42.77
VA-051,Dickenson County,Virginia,49.8,5.86,110,43.94
VA-053,Dinwiddie County,Virginia,41.14,-2.52,44,43.66
VA-057,Essex County,Virginia,39.92,-3.16,39,43.08
VA-059,Fairfax County,Virginia,42.91,1.9,83,41.01
VA-061,Fauquier County,Virginia,41.71,1.55,83,40.16
VA-063,Floyd County,Virginia,52.24,7.21,112,45.03
VA-065,Fluvanna County,Virginia,48.54,6.19,108,42.35
VA-067,Franklin County,Virginia,50.74,7.39,113,43.36
VA-069,Frederick County,Virginia,41.64,4.74,107,36.9
VA-071,Giles County,Virginia,43.61,2.86,95,40.75
VA-073,Gloucester County,Virginia,44.63,0.48,73,44.15
VA-075,Goochland County,Virginia,46.33,3.56,93,42.77
VA-077,Grayson County,Virginia,49.45,3.97,91,45.48
VA-079,Greene County,Virginia,46.18,3.41,93,42.77
VA-081,Greensville County,Virginia,41,-3.74,38,44.74
VA-083,Halifax County,Virginia,46.68,3.66,93,43.02
VA-085,Hanover County,Virginia,43.65,0.59,70,43.06
VA-087,Henrico County,Virginia,42.09,-1.05,59,43.14
VA-089,Henry County,Virginia,54.74,9.71,120,45.03
VA-091,Highland County,Virginia,44.86,1.08,73,43.78
VA-093,Isle of Wight County,Virginia,47.54,1.45,69,46.09
VA-095,James City County,Virginia,45.93,1.52,76,44.41
VA-097,King and Queen County,Virginia,41.27,-2.45,47,43.72
VA-099,King George County,Virginia,39.85,-2.02,54,41.87
VA-101,King William County,Virginia,41.42,-2.08,49,43.5
VA-103,Lancaster County,Virginia,41.64,-1.96,47,43.6
VA-105,Lee County,Virginia,51.69,1.45,69,50.24
VA-107,Loudoun County,Virginia,39.98,-0.08,69,40.06
VA-109,Louisa County,Virginia,47.18,4.37,95,42.81
VA-111,Lunenburg County,Virginia,43.17,-0,63,43.17
VA-113,Madison County,Virginia,44.18,2.33,91,41.85
VA-115,Mathews County,Virginia,43.96,0.26,72,43.7
VA-117,Mecklenburg County,Virginia,44.95,1.22,69,43.73
VA-119,Middlesex County,Virginia,42.24,-1.57,50,43.81
VA-121,Montgomery County,Virginia,43.68,3.44,98,40.24
VA-125,Nelson County,Virginia,47.67,3.39,91,44.28
VA-127,New Kent County,Virginia,42.3,-1.56,55,43.86
VA-131,Northampton County,Virginia,41.28,-1.02,63,42.3
VA-133,Northumberland County,Virginia,42.19,-0.82,60,43.01
VA-135,Nottoway County,Virginia,41.85,-1.37,51,43.22
VA-137,Orange County,Virginia,43.48,1.53,80,41.95
VA-139,Page County,Virginia,43.23,3.74,101,39.49
VA-141,Patrick County,Virginia,60.81,11.29,119,49.52
VA-143,Pittsylvania County,Virginia,45.23,2.15,82,43.08
VA-145,Powhatan County,Virginia,43.51,0.65,66,42.86
VA-147,Prince Edward County,Virginia,43.04,0.41,65,42.63
VA-149,Prince George County,Virginia,43.52,-0.07,59,43.59
VA-153,Prince William County,Virginia,40.01,-0.53,64,40.54
VA-155,Pulaski County,Virginia,46.15,6.49,113,39.66
VA-157,Rappahannock County,Virginia,43.41,4.01,98,39.4
VA-159,Richmond County,Virginia,40.05,-3.03,40,43.08
VA-161,Roanoke County,Virginia,49.7,7.94,113,41.76
VA-163,Rockbridge County,Virginia,48.14,6.73,114,41.41
VA-165,Rockingham County,Virginia,42.57,3.51,93,39.06
VA-167,Russell County,Virginia,51.15,6.63,113,44.52
VA-169,Scott County,Virginia,48.66,1.67,75,46.99
VA-171,Shenandoah County,Virginia,40.69,4.46,106,36.23
VA-173,Smyth County,Virginia,51.15,6.31,113,44.84
VA-175,Southampton County,Virginia,45.91,-0.24,55,46.15
VA-177,Spotsylvania County,Virginia,43.13,0.69,71,42.44
VA-179,Stafford County,Virginia,37.86,-3.49,40,41.35
VA-181,Surry County,Virginia,47.45,2.89,83,44.56
VA-183,Sussex County,Virginia,44.43,-0.18,53,44.61
VA-185,Tazewell County,Virginia,53.09,7.84,116,45.25
VA-187,Warren County,Virginia,43.83,6.88,113,36.95
VA-191,Washington County,Virginia,49.56,4.9,109,44.66
VA-193,Westmoreland County,Virginia,42,-0.43,62,42.43
VA-195,Wise County,Virginia,52.26,4.81,101,47.45
VA-197,Wythe County,Virginia,46.27,6.1,113,40.17
VA-199,York County,Virginia,45.73,1.26,76,44.47
VA-510,Alexandria City,Virginia,44.62,3.2,94,41.42
VA-520,Bristol City,Virginia,46.08,1.61,76,44.47
VA-530,Buena Vista City,Virginia,47.86,6.26,109,41.6
VA-540,Charlottesville City,Virginia,47.19,4.26,94,42.93
VA-550,Chesapeake City,Virginia,44.95,-1.66,50,46.61
VA-570,Colonial Heights City,Virginia,40.9,-2.15,47,43.05
VA-580,Covington City,Virginia,44.35,5.81,110,38.54
VA-590,Danville City,Virginia,45.01,1.97,76,43.04
VA-595,Emporia City,Virginia,40.17,-4.5,33,44.67
VA-600,Fairfax City,Virginia,44.01,2.73,89,41.28
VA-610,Falls Church City,Virginia,44.77,2.95,93,41.82
VA-620,Franklin City,Virginia,47.75,0.7,63,47.05
VA-630,Fredericksburg City,Virginia,38.79,-2.97,43,41.76
VA-640,Galax City,Virginia,50.13,5.85,103,44.28
VA-650,Hampton City,Virginia,43.64,-0.75,61,44.39
VA-660,Harrisonburg City,Virginia,40.73,2.97,92,37.76
VA-670,Hopewell City,Virginia,41.4,-1.82,51,43.22
VA-680,Lynchburg City,Virginia,46.2,3.8,94,42.4
VA-683,Manassas City,Virginia,40.31,0.24,69,40.07
VA-685,Manassas Park City,Virginia,40.95,0.64,72,40.31
VA-690,Martinsville City,Virginia,56.32,11.56,123,44.76
VA-700,Newport News City,Virginia,45.27,0.32,67,44.95
VA-710,Norfolk City,Virginia,41.95,-3.04,40,44.99
VA-720,Norton City,Virginia,51.93,5.05,100,46.88
VA-730,Petersburg City,Virginia,41.52,-1.82,46,43.34
VA-735,Poquoson City,Virginia,43.68,-0.23,67,43.91
VA-740,Portsmouth City,Virginia,43.42,-2.29,50,45.71
VA-750,Radford City,Virginia,42.08,2.89,90,39.19
VA-760,Richmond City,Virginia,41.94,-1.12,58,43.06
VA-770,Roanoke City,Virginia,49.8,8.63,114,41.17
VA-775,Salem City,Virginia,49.1,8.19,115,40.91
VA-790,Staunton City,Virginia,38.19,0.78,75,37.41
VA-800,Suffolk City,Virginia,46.93,-0.34,54,47.27
VA-810,Virginia Beach City,Virginia,43.07,-2.24,48,45.31
VA-820,Waynesboro City,Virginia,42.09,2.8,87,39.29
VA-830,Williamsburg City,Virginia,47.4,2.76,85,44.64
VA-840,Winchester City,Virginia,43.5,6.15,115,37.35
WA-001,Adams County,Washington,12.11,1.28,100,10.83
WA-003,Asotin County,Washington,21.87,4.64,121,17.23
WA-005,Benton County,Washington,9.94,1.8,108,8.15
WA-007,Chelan County,Washington,36.8,-0.29,60,37.09
WA-009,Clallam County,Washington,80.65,-7.27,35,87.92
WA-011,Clark County,Washington,67.85,2.15,76,65.7
WA-013,Columbia County,Washington,32.22,5.43,115,26.79
WA-015,Cowlitz County,Washington,78.25,1.81,70,76.44
WA-017,Douglas County,Washington,11.98,0.6,85,11.38
WA-019,Ferry County,Washington,19.74,0.81,74,18.93
WA-021,Franklin County,Washington,11.06,1.95,109,9.11
WA-023,Garfield County,Washington,25.47,5.97,125,19.5
WA-025,Grant County,Washington,7.68,-0.59,54,8.27
WA-027,Grays Harbor County,Washington,94.48,-0.6,60,95.08
WA-029,Island County,Washington,24.84,-1.16,41,26
WA-031,Jefferson County,Washington,103.55,-3.79,44,107.34
WA-033,King County,Washington,73.65,0.88,69,72.77
WA-035,Kitsap County,Washington,44.88,2.8,78,42.08
WA-037,Kittitas County,Washington,32.8,-0.29,65,33.09
WA-039,Klickitat County,Washington,22.09,-0.37,69,22.46
WA-041,Lewis County,Washington,75.19,3.24,77,71.95
WA-043,Lincoln County,Washington,13.02,0.04,74,12.98
WA-045,Mason County,Washington,89.85,1.78,67,88.07
WA-047,Okanogan County,Washington,22.7,0.12,74,22.58
WA-049,Pacific County,Washington,87.78,-1.82,61,89.6
WA-051,Pend Oreille County,Washington,32.79,-1.14,61,33.93
WA-053,Pierce County,Washington,65.05,1.53,71,63.52
WA-055,San Juan County,Washington,26.51,-1.86,37,28.37
WA-057,Skagit County,Washington,73.62,-2.69,50,76.31
WA-059,Skamania County,Washington,92.74,2.13,72,90.61
WA-061,Snohomish County,Washington,81.08,0.09,65,80.99
WA-063,Spokane County,Washington,21.94,1.91,93,20.03
WA-065,Stevens County,Washington,22.87,0.24,71,22.63
WA-067,Thurston County,Washington,52.62,2.11,75,50.51
WA-069,Wahkiakum County,Washington,73.46,-9.45,33,82.91
WA-071,Walla Walla County,Washington,18.03,3.32,118,14.71
WA-073,Whatcom County,Washington,64.92,-3.29,44,68.21
WA-075,Whitman County,Washington,21.84,4.54,122,17.3
WA-077,Yakima County,Washington,26.65,0.57,74,26.08
WV-001,Barbour County,West Virginia,52.99,5.35,108,47.64
WV-003,Berkeley County,West Virginia,38.74,1.01,76,37.73
WV-005,Boone County,West Virginia,49.77,3.81,97,45.96
WV-007,Braxton County,West Virginia,51.56,4.86,101,46.7
WV-009,Brooke County,West Virginia,46.31,6.83,118,39.49
WV-011,Cabell County,West Virginia,44.66,2.11,88,42.55
WV-013,Calhoun County,West Virginia,50.81,5.85,105,44.96
WV-015,Clay County,West Virginia,54.95,8.65,121,46.3
WV-017,Doddridge County,West Virginia,51.55,6.17,108,45.38
WV-019,Fayette County,West Virginia,55.55,8.75,120,46.8
WV-021,Gilmer County,West Virginia,49.5,3.64,95,45.86
WV-023,Grant County,West Virginia,38.68,0.45,72,38.23
WV-025,Greenbrier County,West Virginia,52.95,8.5,121,44.45
WV-027,Hampshire County,West Virginia,37.03,0.56,77,36.48
WV-029,Hancock County,West Virginia,48.23,10.01,124,38.22
WV-031,Hardy County,West Virginia,39.18,1.65,83,37.53
WV-033,Harrison County,West Virginia,50.7,6.23,109,44.47
WV-035,Jackson County,West Virginia,47.65,5.03,100,42.62
WV-037,Jefferson County,West Virginia,40.64,2.01,86,38.63
WV-039,Kanawha County,West Virginia,52.04,7.09,116,44.95
WV-041,Lewis County,West Virginia,50.78,3.65,93,47.13
WV-043,Lincoln County,West Virginia,46.95,2.88,87,44.07
WV-045,Logan County,West Virginia,49.28,3.01,88,46.27
WV-047,McDowell County,West Virginia,51.05,6.55,113,44.5
WV-049,Marion County,West Virginia,47.76,3.98,99,43.78
WV-051,Marshall County,West Virginia,52.46,9.64,120,42.82
WV-053,Mason County,West Virginia,45.12,3.59,96,41.53
WV-055,Mercer County,West Virginia,46.85,5.65,109,41.2
WV-057,Mineral County,West Virginia,34.93,-1.19,50,36.12
WV-059,Mingo County,West Virginia,50.21,4.8,100,45.41
WV-061,Monongalia County,West Virginia,46.87,3.29,92,43.58
WV-063,Monroe County,West Virginia,45.72,5.19,106,40.53
WV-065,Morgan County,West Virginia,36.15,-1,55,37.15
WV-067,Nicholas County,West Virginia,60.27,11.11,121,49.16
WV-069,Ohio County,West Virginia,47.22,6.48,114,40.74
WV-071,Pendleton County,West Virginia,43.52,4.29,101,39.23
WV-073,Pleasants County,West Virginia,46.15,3.12,93,43.03
WV-075,Pocahontas County,West Virginia,52.28,3.31,94,48.97
WV-077,Preston County,West Virginia,49.99,0.78,75,49.21
WV-079,Putnam County,West Virginia,46.07,2.94,95,43.13
WV-081,Raleigh County,West Virginia,50.51,5.15,103,45.36
